"","Temp.C","temp.Cat","trial","treatment","genotype","fragment.ID","individual.ID","rate.type","umol.cm2.hr"
"1",26.411042815,27,2706,"T1","K2","K201a","K201","NP",0.520482356
"2",26.285931415,28,2801,"T1","K2","K201a","K201","NP",0.60623535
"3",26.442051465,29,2903,"T1","K2","K201a","K201","NP",0.79965963
"4",26.34798866,30,3004,"T1","K2","K201a","K201","NP",0.394626224
"5",26.40792688,31,3106,"T1","K2","K201a","K201","NP",0.435968512
"6",26.495725565,32,3202,"T1","K2","K201a","K201","NP",0.822977388
"7",26.427346165,33,3303,"T1","K2","K201a","K201","NP",0.536844339
"8",26.42070666,34,3405,"T1","K2","K201a","K201","NP",-0.006601794
"9",26.418751425,27,2703,"T1","K2","K201b","K201","NP",0.481147207
"10",26.454835115,28,2805,"T1","K2","K201b","K201","NP",0.457487706
"11",26.296779,29,2906,"T1","K2","K201b","K201","NP",0.427055455
"12",26.486800255,30,3002,"T1","K2","K201b","K201","NP",0.59897396
"13",26.35641924,31,3104,"T1","K2","K201b","K201","NP",0.708926433
"14",26.23352487,32,3205,"T1","K2","K201b","K201","NP",0.546302922
"15",26.40047864,33,3301,"T1","K2","K201b","K201","NP",0.692069748
"16",26.26095583,34,3402,"T1","K2","K201b","K201","NP",0.265973256
"17",26.396846925,27,2701,"T1","K2","K201c","K201","NP",0.583397576
"18",26.40850227,28,2803,"T1","K2","K201c","K201","NP",0.639783272
"19",26.28914571,29,2904,"T1","K2","K201c","K201","NP",0.756835841
"20",26.22156436,30,3006,"T1","K2","K201c","K201","NP",0.116186128
"21",26.32101657,31,3102,"T1","K2","K201c","K201","NP",0.812877518
"22",26.438263855,32,3203,"T1","K2","K201c","K201","NP",0.756212139
"23",26.31917945,33,3305,"T1","K2","K201c","K201","NP",0.362600103
"24",26.422506205,34,3406,"T1","K2","K201c","K201","NP",-0.056257118
"25",26.425956665,27,2704,"T1","K2","K201d","K201","NP",0.447177564
"26",26.424582585,28,2805,"T1","K2","K201d","K201","NP",0.514310567
"27",26.464896135,29,2901,"T1","K2","K201d","K201","NP",0.813589139
"28",26.344990565,30,3002,"T1","K2","K201d","K201","NP",0.686552121
"29",26.33136031,31,3104,"T1","K2","K201d","K201","NP",0.759243396
"30",26.34300791,32,3206,"T1","K2","K201d","K201","NP",0.338141485
"31",26.469831565,33,3301,"T1","K2","K201d","K201","NP",0.735361045
"32",26.27403809,34,3403,"T1","K2","K201d","K201","NP",0.269043734
"33",26.31821738,27,2706,"T2","K2","K202a","K202","NP",0.478448692
"34",26.40407251,28,2801,"T2","K2","K202a","K202","NP",0.608312936
"35",26.456289475,29,2903,"T2","K2","K202a","K202","NP",0.761988362
"36",26.46780414,30,3004,"T2","K2","K202a","K202","NP",0.326908851
"37",26.378185845,31,3106,"T2","K2","K202a","K202","NP",0.512806754
"38",26.36363632,32,3202,"T2","K2","K202a","K202","NP",0.890858887
"39",26.34473143,33,3303,"T2","K2","K202a","K202","NP",0.620634752
"40",26.41858541,34,3405,"T2","K2","K202a","K202","NP",0.106518661
"41",26.417124825,27,2704,"T2","K2","K202b","K202","NP",0.483261684
"42",26.435232395,28,2806,"T2","K2","K202b","K202","NP",0.440827126
"43",26.33052757,29,2901,"T2","K2","K202b","K202","NP",0.691407684
"44",26.35410647,30,3003,"T2","K2","K202b","K202","NP",0.447253867
"45",26.34727936,31,3105,"T2","K2","K202b","K202","NP",0.582381139
"46",26.288387995,32,3206,"T2","K2","K202b","K202","NP",0.111976779
"47",26.28127358,33,3302,"T2","K2","K202b","K202","NP",0.334285063
"48",26.37220693,34,3403,"T2","K2","K202b","K202","NP",-0.023890271
"49",27.0920342,27,2703,"T2","K2","K202c","K202","NP",0.490611458
"50",27.124964555,28,2804,"T2","K2","K202c","K202","NP",0.539924161
"51",27.165666485,29,2906,"T2","K2","K202c","K202","NP",0.445339415
"52",27.17359155,30,3001,"T2","K2","K202c","K202","NP",0.573473959
"53",27.180141105,31,3103,"T2","K2","K202c","K202","NP",0.73408158
"54",27.05098725,32,3205,"T2","K2","K202c","K202","NP",0.590550272
"55",27.13296287,33,3306,"T2","K2","K202c","K202","NP",0.324003956
"56",27.179737005,34,3402,"T2","K2","K202c","K202","NP",0.149617785
"57",26.975087165,27,2705,"T2","K2","K202d","K202","NP",0.594449057
"58",27.165024415,28,2806,"T2","K2","K202d","K202","NP",0.511195981
"59",27.00744033,29,2902,"T2","K2","K202d","K202","NP",0.687692894
"60",27.145403925,30,3003,"T2","K2","K202d","K202","NP",0.516028599
"61",27.227113125,31,3105,"T2","K2","K202d","K202","NP",0.623119808
"62",27.162567765,32,3201,"T2","K2","K202d","K202","NP",0.79010096
"63",27.163459615,33,3302,"T2","K2","K202d","K202","NP",0.377156011
"64",27.127776235,34,3404,"T2","K2","K202d","K202","NP",-0.111120121
"65",27.29955911,27,2702,"T3","K2","K203a","K203","NP",0.461614113
"66",27.186243905,28,2803,"T3","K2","K203a","K203","NP",0.49711596
"67",27.17924261,29,2905,"T3","K2","K203a","K203","NP",0.677886359
"68",27.169694225,30,3006,"T3","K2","K203a","K203","NP",0.029473732
"69",27.1069083,31,3102,"T3","K2","K203a","K203","NP",0.798176826
"70",27.14101971,32,3204,"T3","K2","K203a","K203","NP",0.541939745
"71",27.10547157,33,3305,"T3","K2","K203a","K203","NP",0.222491971
"72",27.090344775,34,3401,"T3","K2","K203a","K203","NP",-0.080221642
"73",27.09397208,27,2701,"T3","K2","K203b","K203","NP",0.58934919
"74",27.11799962,28,2802,"T3","K2","K203b","K203","NP",0.670793149
"75",27.13402059,29,2904,"T3","K2","K203b","K203","NP",0.64494678
"76",27.065994815,30,3005,"T3","K2","K203b","K203","NP",0.196096297
"77",27.149023385,31,3101,"T3","K2","K203b","K203","NP",0.889417074
"78",27.121660575,32,3203,"T3","K2","K203b","K203","NP",0.801142963
"79",27.23054577,33,3304,"T3","K2","K203b","K203","NP",0.317478661
"80",27.16448477,34,3406,"T3","K2","K203b","K203","NP",-0.1203268
"81",27.339594945,27,2703,"T3","K2","K203c","K203","NP",0.503687259
"82",27.24467001,28,2805,"T3","K2","K203c","K203","NP",0.492211558
"83",27.258134545,29,2906,"T3","K2","K203c","K203","NP",0.405916652
"84",27.279009185,30,3002,"T3","K2","K203c","K203","NP",0.615865111
"85",27.273974625,31,3104,"T3","K2","K203c","K203","NP",0.702103997
"86",27.3247067,32,3205,"T3","K2","K203c","K203","NP",0.38658217
"87",27.32596311,33,3301,"T3","K2","K203c","K203","NP",0.554299055
"88",27.359169065,34,3402,"T3","K2","K203c","K203","NP",0.034506643
"89",27.23612863,27,2704,"T3","K2","K203d","K203","NP",0.469605179
"90",27.353807655,28,2805,"T3","K2","K203d","K203","NP",0.441524342
"91",27.25999852,29,2901,"T3","K2","K203d","K203","NP",0.775558643
"92",27.218260735,30,3002,"T3","K2","K203d","K203","NP",0.507489731
"93",27.204587715,31,3104,"T3","K2","K203d","K203","NP",0.613312348
"94",27.243026655,32,3206,"T3","K2","K203d","K203","NP",0.140629936
"95",27.285461115,33,3301,"T3","K2","K203d","K203","NP",0.50928401
"96",27.176283505,34,3403,"T3","K2","K203d","K203","NP",-0.010263858
"97",28.31235991,27,2704,"C","K2","K20Ca","K20C","NP",0.526807765
"98",28.33710049,28,2806,"C","K2","K20Ca","K20C","NP",0.472132129
"99",28.31459938,29,2901,"C","K2","K20Ca","K20C","NP",0.788635596
"100",28.342707765,30,3003,"C","K2","K20Ca","K20C","NP",0.555997366
"101",28.234722805,31,3105,"C","K2","K20Ca","K20C","NP",0.746269352
"102",28.191228825,32,3206,"C","K2","K20Ca","K20C","NP",0.317097806
"103",28.274152915,33,3302,"C","K2","K20Ca","K20C","NP",0.546151244
"104",28.27707261,34,3403,"C","K2","K20Ca","K20C","NP",0.060195804
"105",28.56827493,27,2703,"C","K2","K20Cb","K20C","NP",0.478908108
"106",28.459557645,28,2804,"C","K2","K20Cb","K20C","NP",0.428283689
"107",28.520001985,29,2906,"C","K2","K20Cb","K20C","NP",0.321501228
"108",28.44536375,30,3001,"C","K2","K20Cb","K20C","NP",0.582223864
"109",28.556070815,31,3103,"C","K2","K20Cb","K20C","NP",0.556547559
"110",28.412209935,32,3205,"C","K2","K20Cb","K20C","NP",0.29968178
"111",28.492968995,33,3306,"C","K2","K20Cb","K20C","NP",0.015784834
"112",28.46833655,34,3402,"C","K2","K20Cb","K20C","NP",-0.127341334
"113",28.40618909,27,2702,"C","K2","K20Cc","K20C","NP",0.541423676
"114",28.30339574,28,2803,"C","K2","K20Cc","K20C","NP",0.578997298
"115",28.31938321,29,2905,"C","K2","K20Cc","K20C","NP",0.681327567
"116",28.362135585,30,3006,"C","K2","K20Cc","K20C","NP",0.145066108
"117",28.3960556,31,3102,"C","K2","K20Cc","K20C","NP",0.823190951
"118",28.3685016,32,3205,"C","K2","K20Cc","K20C","NP",0.697414397
"119",28.40048862,33,3305,"C","K2","K20Cc","K20C","NP",0.425382232
"120",28.682850655,34,3401,"C","K2","K20Cc","K20C","NP",0.085651517
"121",28.51200627,27,2703,"C","K2","K20Cd","K20C","NP",0.494823704
"122",28.527113365,28,2805,"C","K2","K20Cd","K20C","NP",0.512075992
"123",28.50222913,29,2906,"C","K2","K20Cd","K20C","NP",0.408620437
"124",28.533099845,30,3002,"C","K2","K20Cd","K20C","NP",0.708502079
"125",28.6132263,31,3104,"C","K2","K20Cd","K20C","NP",0.682690794
"126",28.56478412,32,3205,"C","K2","K20Cd","K20C","NP",0.420608312
"127",28.55228898,33,3301,"C","K2","K20Cd","K20C","NP",0.430123297
"128",28.580479615,34,3402,"C","K2","K20Cd","K20C","NP",-0.010123162
"129",28.307436125,27,2706,"T1","M5","M501a","M501","NP",0.311625063
"130",28.3534906,28,2802,"T1","M5","M501a","M501","NP",0.45297449
"131",28.355797165,29,2903,"T1","M5","M501a","M501","NP",0.637241792
"132",28.30045088,30,3005,"T1","M5","M501a","M501","NP",0.072467725
"133",28.291902645,31,3101,"T1","M5","M501a","M501","NP",0.74702389
"134",28.36586251,32,3202,"T1","M5","M501a","M501","NP",0.644562632
"135",28.351356005,33,3304,"T1","M5","M501a","M501","NP",0.381477446
"136",28.24670015,34,3405,"T1","M5","M501a","M501","NP",-0.008204322
"137",28.18807588,27,2702,"T1","M5","M501b","M501","NP",0.432881663
"138",28.22796757,28,2803,"T1","M5","M501b","M501","NP",0.513676693
"139",28.25493998,29,2905,"T1","M5","M501b","M501","NP",0.667922784
"140",28.290074385,30,3006,"T1","M5","M501b","M501","NP",-0.008220228
"141",28.15756277,31,3102,"T1","M5","M501b","M501","NP",0.696744297
"142",28.11676352,32,3204,"T1","M5","M501b","M501","NP",0.588120586
"143",28.21753066,33,3305,"T1","M5","M501b","M501","NP",0.389762275
"144",28.20249505,34,3401,"T1","M5","M501b","M501","NP",0.061137744
"145",29.073833715,27,2702,"T1","M5","M501c","M501","NP",0.505616919
"146",29.15970212,28,2804,"T1","M5","M501c","M501","NP",0.543313297
"147",29.13200379,29,2905,"T1","M5","M501c","M501","NP",0.669045403
"148",29.14650744,30,3001,"T1","M5","M501c","M501","NP",0.632229337
"149",29.05561506,31,3103,"T1","M5","M501c","M501","NP",0.680406838
"150",29.091817605,32,3204,"T1","M5","M501c","M501","NP",0.591444694
"151",29.02703657,33,3306,"T1","M5","M501c","M501","NP",0.127482643
"152",28.91211814,34,3401,"T1","M5","M501c","M501","NP",0.109103748
"153",29.377231155,27,2703,"T1","M5","M501d","M501","NP",0.504942286
"154",29.540651855,28,2804,"T1","M5","M501d","M501","NP",0.569090164
"155",29.44993647,29,2906,"T1","M5","M501d","M501","NP",0.396243737
"156",29.403191795,30,3001,"T1","M5","M501d","M501","NP",0.625606503
"157",29.355126915,31,3103,"T1","M5","M501d","M501","NP",0.754635167
"158",29.364475595,32,3205,"T1","M5","M501d","M501","NP",0.369882505
"159",29.36887439,33,3306,"T1","M5","M501d","M501","NP",0.123518503
"160",29.387112545,34,3402,"T1","M5","M501d","M501","NP",0.058210596
"161",29.333946675,27,2704,"T2","M5","M502a","M502","NP",0.397746029
"162",29.287617625,28,2805,"T2","M5","M502a","M502","NP",0.386386071
"163",29.25560508,29,2901,"T2","M5","M502a","M502","NP",0.662790281
"164",29.35411946,30,3002,"T2","M5","M502a","M502","NP",0.418417475
"165",29.251682385,31,3104,"T2","M5","M502a","M502","NP",0.571931067
"166",29.339921555,32,3206,"T2","M5","M502a","M502","NP",0.047053031
"167",29.36095908,33,3301,"T2","M5","M502a","M502","NP",0.429258256
"168",29.270233765,34,3403,"T2","M5","M502a","M502","NP",-0.065071843
"169",29.261579115,27,2702,"T2","M5","M502b","M502","NP",0.493610155
"170",29.381689145,28,2803,"T2","M5","M502b","M502","NP",0.507846081
"171",29.38091948,29,2905,"T2","M5","M502b","M502","NP",0.610355362
"172",29.35088597,30,3006,"T2","M5","M502b","M502","NP",-0.025463959
"173",29.310996065,31,3102,"T2","M5","M502b","M502","NP",0.580880973
"174",29.24302975,32,3204,"T2","M5","M502b","M502","NP",0.498664582
"175",29.306745865,33,3305,"T2","M5","M502b","M502","NP",0.226818888
"176",29.252750945,34,3401,"T2","M5","M502b","M502","NP",-0.029954489
"177",29.26259676,27,2701,"T2","M5","M502c","M502","NP",0.351106228
"178",29.27355659,28,2802,"T2","M5","M502c","M502","NP",0.418081082
"179",29.238498395,29,2904,"T2","M5","M502c","M502","NP",0.51002303
"180",29.318144085,30,3005,"T2","M5","M502c","M502","NP",0.028381789
"181",29.310961425,31,3101,"T2","M5","M502c","M502","NP",0.587121123
"182",29.212063775,32,3203,"T2","M5","M502c","M502","NP",0.5186908
"183",29.17911644,33,3304,"T2","M5","M502c","M502","NP",0.233827418
"184",29.193431445,34,3406,"T2","M5","M502c","M502","NP",-0.086808818
"185",29.46546559,27,2702,"T2","M5","M502d","M502","NP",0.438371543
"186",29.337882505,28,2804,"T2","M5","M502d","M502","NP",0.469365737
"187",29.440479595,29,2905,"T2","M5","M502d","M502","NP",0.519744473
"188",29.40697218,30,3001,"T2","M5","M502d","M502","NP",0.516401294
"189",29.47974485,31,3103,"T2","M5","M502d","M502","NP",0.621342476
"190",29.32747792,32,3204,"T2","M5","M502d","M502","NP",0.522994125
"191",29.406105945,33,3306,"T2","M5","M502d","M502","NP",0.030067891
"192",29.510334855,34,3401,"T2","M5","M502d","M502","NP",-0.002809706
"193",30.500038895,27,2701,"T3","M5","M503a","M503","NP",0.433606941
"194",30.477991635,28,2803,"T3","M5","M503a","M503","NP",0.436030083
"195",30.377063855,29,2904,"T3","M5","M503a","M503","NP",0.520804049
"196",30.371860885,30,3006,"T3","M5","M503a","M503","NP",-0.021313481
"197",30.28939975,31,3102,"T3","M5","M503a","M503","NP",0.565551199
"198",30.423050125,32,3203,"T3","M5","M503a","M503","NP",0.552499856
"199",30.402037195,33,3305,"T3","M5","M503a","M503","NP",0.288511901
"200",30.36028088,34,3406,"T3","M5","M503a","M503","NP",-0.101919289
"201",30.5620949,27,2703,"T3","M5","M503b","M503","NP",0.37368746
"202",30.471864465,28,2804,"T3","M5","M503b","M503","NP",0.409541797
"203",30.50375077,29,2906,"T3","M5","M503b","M503","NP",0.236302659
"204",30.48170673,30,3001,"T3","M5","M503b","M503","NP",0.553732052
"205",30.29375416,31,3103,"T3","M5","M503b","M503","NP",0.504316253
"206",30.32059529,32,3205,"T3","M5","M503b","M503","NP",0.367637824
"207",30.425420885,33,3306,"T3","M5","M503b","M503","NP",0.063920007
"208",30.315561155,34,3402,"T3","M5","M503b","M503","NP",-0.042293565
"209",30.52681377,27,2705,"T3","M5","M503c","M503","NP",0.366383002
"210",30.16835582,28,2806,"T3","M5","M503c","M503","NP",0.352885463
"211",30.43520691,29,2902,"T3","M5","M503c","M503","NP",0.592344049
"212",30.46932537,30,3003,"T3","M5","M503c","M503","NP",0.331333572
"213",30.21551191,31,3105,"T3","M5","M503c","M503","NP",0.369914339
"214",30.42712498,32,3201,"T3","M5","M503c","M503","NP",0.648448583
"215",30.57888932,33,3302,"T3","M5","M503c","M503","NP",0.433282699
"216",30.43314977,34,3404,"T3","M5","M503c","M503","NP",0.00633777
"217",30.173532345,27,2705,"T3","M5","M503d","M503","NP",0.442347248
"218",29.985407325,28,2801,"T3","M5","M503d","M503","NP",0.434192761
"219",30.074466325,29,2902,"T3","M5","M503d","M503","NP",0.692394962
"220",30.17272712,30,3004,"T3","M5","M503d","M503","NP",0.136741981
"221",30.11139117,31,3106,"T3","M5","M503d","M503","NP",0.201043457
"222",29.930606265,32,3201,"T3","M5","M503d","M503","NP",0.677977658
"223",29.995470735,33,3303,"T3","M5","M503d","M503","NP",0.483561738
"224",30.033215805,34,3404,"T3","M5","M503d","M503","NP",-0.037806895
"225",30.06650846,27,2705,"C","M5","M50Ca","M50C","NP",0.507261315
"226",29.92754295,28,2806,"C","M5","M50Ca","M50C","NP",0.375936373
"227",30.04331947,29,2902,"C","M5","M50Ca","M50C","NP",0.7936087
"228",29.948496655,30,3003,"C","M5","M50Ca","M50C","NP",0.464101841
"229",30.12288274,31,3105,"C","M5","M50Ca","M50C","NP",0.539487264
"230",30.12511244,32,3201,"C","M5","M50Ca","M50C","NP",0.701562883
"231",30.007358035,33,3302,"C","M5","M50Ca","M50C","NP",0.50218594
"232",30.12240435,34,3404,"C","M5","M50Ca","M50C","NP",-0.097455834
"233",30.0503049,27,2702,"C","M5","M50Cb","M50C","NP",0.431796645
"234",30.02434929,28,2804,"C","M5","M50Cb","M50C","NP",0.526263364
"235",30.06914109,29,2905,"C","M5","M50Cb","M50C","NP",0.601325205
"236",29.99665551,30,3001,"C","M5","M50Cb","M50C","NP",0.609210658
"237",30.07060262,31,3103,"C","M5","M50Cb","M50C","NP",0.67701952
"238",29.968110165,32,3204,"C","M5","M50Cb","M50C","NP",0.612200139
"239",29.92916213,33,3306,"C","M5","M50Cb","M50C","NP",-0.013956518
"240",30.050941335,34,3401,"C","M5","M50Cb","M50C","NP",0.011106169
"241",31.455521715,27,2701,"C","M5","M50Cc","M50C","NP",0.427326728
"242",31.294172455,28,2802,"C","M5","M50Cc","M50C","NP",0.548960592
"243",31.407467295,29,2904,"C","M5","M50Cc","M50C","NP",0.584079465
"244",31.34936934,30,3005,"C","M5","M50Cc","M50C","NP",0.073051235
"245",31.379657755,31,3101,"C","M5","M50Cc","M50C","NP",0.774499912
"246",31.33998551,32,3203,"C","M5","M50Cc","M50C","NP",0.632548777
"247",31.21168916,33,3304,"C","M5","M50Cc","M50C","NP",0.324024573
"248",31.225473765,34,3406,"C","M5","M50Cc","M50C","NP",-0.135236967
"249",31.44194396,27,2701,"C","M5","M50Cd","M50C","NP",1.863015459
"250",31.439874745,28,2803,"C","M5","M50Cd","M50C","NP",2.333354827
"251",31.36961761,29,2904,"C","M5","M50Cd","M50C","NP",2.755367819
"252",31.321017275,30,3006,"C","M5","M50Cd","M50C","NP",-0.163165618
"253",31.33250309,31,3102,"C","M5","M50Cd","M50C","NP",2.67079689
"254",31.37693176,32,3203,"C","M5","M50Cd","M50C","NP",2.702791383
"255",31.38428689,33,3305,"C","M5","M50Cd","M50C","NP",1.215445033
"256",31.471049585,34,3407,"C","M5","M50Cd","M50C","NP",-0.276558838
"257",31.435326005,27,2705,"T1","M6","M601a","M601","NP",0.460270626
"258",31.31575227,28,2806,"T1","M6","M601a","M601","NP",0.397767749
"259",31.28169072,29,2902,"T1","M6","M601a","M601","NP",0.681685245
"260",31.390963795,30,3003,"T1","M6","M601a","M601","NP",0.476281139
"261",31.2608723,31,3105,"T1","M6","M601a","M601","NP",0.648317849
"262",31.33674537,32,3201,"T1","M6","M601a","M601","NP",0.933385621
"263",31.36257244,33,3302,"T1","M6","M601a","M601","NP",0.548722648
"264",31.320709565,34,3404,"T1","M6","M601a","M601","NP",0.150926778
"265",31.41614239,27,2701,"T1","M6","M601b","M601","NP",0.663930939
"266",31.288192515,28,2802,"T1","M6","M601b","M601","NP",0.751172284
"267",31.31369879,29,2904,"T1","M6","M601b","M601","NP",0.84386732
"268",31.286240605,30,3005,"T1","M6","M601b","M601","NP",0.191654648
"269",31.229983105,31,3101,"T1","M6","M601b","M601","NP",0.965872211
"270",31.238778995,32,3203,"T1","M6","M601b","M601","NP",0.863433541
"271",31.256068605,33,3304,"T1","M6","M601b","M601","NP",0.443292774
"272",31.235567175,34,3406,"T1","M6","M601b","M601","NP",-0.115837454
"273",31.321951975,27,2704,"T1","M6","M601c","M601","NP",0.544063104
"274",31.252267745,28,2806,"T1","M6","M601c","M601","NP",0.440438456
"275",31.316854405,29,2901,"T1","M6","M601c","M601","NP",0.96023634
"276",31.32580415,30,3003,"T1","M6","M601c","M601","NP",0.518347571
"277",31.363457575,31,3105,"T1","M6","M601c","M601","NP",0.680128127
"278",31.21954279,32,3206,"T1","M6","M601c","M601","NP",0.130609466
"279",31.419540525,33,3302,"T1","M6","M601c","M601","NP",0.419443791
"280",31.421600225,34,3403,"T1","M6","M601c","M601","NP",0.086752982
"281",31.336803295,27,2705,"T1","M6","M601d","M601","NP",0.488190034
"282",31.297544525,28,2801,"T1","M6","M601d","M601","NP",0.525021387
"283",31.33400728,29,2902,"T1","M6","M601d","M601","NP",0.755850897
"284",31.294099475,30,3004,"T1","M6","M601d","M601","NP",0.232654073
"285",31.389877075,31,3106,"T1","M6","M601d","M601","NP",0.431459376
"286",31.19768445,32,3201,"T1","M6","M601d","M601","NP",0.737366309
"287",31.313615665,33,3303,"T1","M6","M601d","M601","NP",0.467501159
"288",31.35893987,34,3404,"T1","M6","M601d","M601","NP",0.022030405
